0.5, 1, 0, -40.65608611713518
0.5, 1, 1, -41.69154887581579
0.5, 1, 2, -40.42289101202053
0.5, 1, 3, -40.2584042029677
0.5, 1, 4, -42.683072810200684
0.5, 1, 5, -42.28660671716007
0.5, 1, 6, -41.908120442274395
0.5, 1, 7, -39.752446327184686
0.5, 1, 8, -41.06055056376988
0.5, 1, 9, -43.85939502709166
0.5, 2, 0, -24.572063199052266
0.5, 2, 1, -23.596562893384224
0.5, 2, 2, -22.55206354582216
0.5, 2, 3, -24.889928609877913
0.5, 2, 4, -23.74123483055511
0.5, 2, 5, -23.349633691937587
0.5, 2, 6, -24.32309380045209
0.5, 2, 7, -22.626109790471606
0.5, 2, 8, -23.391073988226815
0.5, 2, 9, -24.82491398731705
0.5, 3, 0, -22.13061530259879
0.5, 3, 1, -22.42947157929962
0.5, 3, 2, -20.78306260829097
0.5, 3, 3, -21.931338281302864
0.5, 3, 4, -21.800843192819904
0.5, 3, 5, -21.923730680454593
0.5, 3, 6, -22.364750858085067
0.5, 3, 7, -21.014635743404288
0.5, 3, 8, -21.01904226127479
0.5, 3, 9, -22.36818207855174
0.5, 4, 0, -21.4115849343428
0.5, 4, 1, -21.729643095990745
0.5, 4, 2, -20.272796021436427
0.5, 4, 3, -21.391497001100255
0.5, 4, 4, -21.861001818211093
0.5, 4, 5, -21.670417063549866
0.5, 4, 6, -21.466367888673155
0.5, 4, 7, -20.454011845905253
0.5, 4, 8, -21.022210492960056
0.5, 4, 9, -21.8956127424703
1.5, 1, 0, -60.00879214597843
1.5, 1, 1, -59.45332479596541
1.5, 1, 2, -66.39946160112284
1.5, 1, 3, -62.181186748936014
1.5, 1, 4, -65.00507698884675
1.5, 1, 5, -65.80391374184181
1.5, 1, 6, -64.56955310660454
1.5, 1, 7, -63.43309218906719
1.5, 1, 8, -66.58821524450289
1.5, 1, 9, -63.52855575506889
1.5, 2, 0, -37.01477115336008
1.5, 2, 1, -35.50963710403727
1.5, 2, 2, -36.777921930336525
1.5, 2, 3, -35.47485133160613
1.5, 2, 4, -36.67485796742368
1.5, 2, 5, -36.845370294783166
1.5, 2, 6, -36.5158139061474
1.5, 2, 7, -38.20702747104927
1.5, 2, 8, -36.203612676991874
1.5, 2, 9, -35.900415169480304
1.5, 3, 0, -31.152060671180756
1.5, 3, 1, -31.080943279455063
1.5, 3, 2, -30.757685036448684
1.5, 3, 3, -29.881333123204392
1.5, 3, 4, -31.91298745952264
1.5, 3, 5, -31.142920760379894
1.5, 3, 6, -32.05510051562804
1.5, 3, 7, -32.54958434027207
1.5, 3, 8, -31.446070911082966
1.5, 3, 9, -31.481490526953404
1.5, 4, 0, -30.156335076137974
1.5, 4, 1, -30.451599405080678
1.5, 4, 2, -30.468031993419117
1.5, 4, 3, -29.87652403037607
1.5, 4, 4, -31.190487677463572
1.5, 4, 5, -30.42041244089819
1.5, 4, 6, -31.04905498287863
1.5, 4, 7, -31.39946674293849
1.5, 4, 8, -30.41589973905072
1.5, 4, 9, -30.49993783287522
2.5, 1, 0, -92.15954993171462
2.5, 1, 1, -88.62975178095459
2.5, 1, 2, -94.68637446914828
2.5, 1, 3, -93.06471226461687
2.5, 1, 4, -104.48171378324153
2.5, 1, 5, -97.69493793094118
2.5, 1, 6, -109.12031725117906
2.5, 1, 7, -102.94067314006841
2.5, 1, 8, -106.84424063849681
2.5, 1, 9, -98.40364770063152
2.5, 2, 0, -51.38555234840933
2.5, 2, 1, -50.82529359215881
2.5, 2, 2, -53.816831800399214
2.5, 2, 3, -52.660038107683135
2.5, 2, 4, -53.870986448618524
2.5, 2, 5, -54.479234856499204
2.5, 2, 6, -59.26176878090149
2.5, 2, 7, -56.9641108062183
2.5, 2, 8, -56.27922022220913
2.5, 2, 9, -55.034223888971056
2.5, 3, 0, -42.41456435975968
2.5, 3, 1, -41.4535412624551
2.5, 3, 2, -43.5518726603092
2.5, 3, 3, -42.78175955298794
2.5, 3, 4, -43.17461044464092
2.5, 3, 5, -44.368525658596894
2.5, 3, 6, -46.61787304281091
2.5, 3, 7, -45.374154729169575
2.5, 3, 8, -44.143825704710004
2.5, 3, 9, -45.101621370958135
2.5, 4, 0, -42.64634063543575
2.5, 4, 1, -41.269906831098815
2.5, 4, 2, -42.38381483858332
2.5, 4, 3, -41.24198194930791
2.5, 4, 4, -42.69733565609643
2.5, 4, 5, -42.56944398762313
2.5, 4, 6, -44.507420658630835
2.5, 4, 7, -44.42268808292491
2.5, 4, 8, -42.81671341249353
2.5, 4, 9, -44.20640904726968
3.5, 1, 0, -136.5278303346373
3.5, 1, 1, -132.2240204062952
3.5, 1, 2, -147.31120180066344
3.5, 1, 3, -139.89805268491378
3.5, 1, 4, -157.53363187727473
3.5, 1, 5, -149.73168692905625
3.5, 1, 6, -164.41249316659076
3.5, 1, 7, -148.397485879935
3.5, 1, 8, -163.74600722942003
3.5, 1, 9, -159.36264167010532
3.5, 2, 0, -71.5419082832201
3.5, 2, 1, -77.69772418520355
3.5, 2, 2, -77.45095971448617
3.5, 2, 3, -75.68681631437514
3.5, 2, 4, -81.42469467956332
3.5, 2, 5, -88.259182763827
3.5, 2, 6, -89.9299592419956
3.5, 2, 7, -77.83552999871156
3.5, 2, 8, -86.24883046357567
3.5, 2, 9, -80.65957434917317
3.5, 3, 0, -59.847333275703
3.5, 3, 1, -61.502738783228175
3.5, 3, 2, -63.85525643434445
3.5, 3, 3, -65.63721776212482
3.5, 3, 4, -65.0297966246765
3.5, 3, 5, -71.68730219695686
3.5, 3, 6, -66.23835936862136
3.5, 3, 7, -63.85139142350361
3.5, 3, 8, -64.50950660427756
3.5, 3, 9, -66.50144297825074
3.5, 4, 0, -61.52465715383039
3.5, 4, 1, -59.67415208318317
3.5, 4, 2, -60.72281700869304
3.5, 4, 3, -58.77544274834236
3.5, 4, 4, -60.60070018490127
3.5, 4, 5, -59.671738432191205
3.5, 4, 6, -61.756620680062156
3.5, 4, 7, -63.041422676945174
3.5, 4, 8, -61.61737841810411
3.5, 4, 9, -63.71763494930762
