v_max, k, seed, reward
1.5, 3, 8, -112.19104700251769
1.5, 3, 9, -118.28995611432711
1.5, 4, 0, -97.71401510573727
1.5, 4, 1, -83.57996263552215
1.5, 4, 2, -89.89626767157938
1.5, 4, 3, -77.25286621207866
1.5, 4, 4, -100.00361191384636
1.5, 4, 5, -97.16161679106095
1.5, 4, 6, -83.36867358009053
1.5, 4, 7, -91.93764448902782
1.5, 4, 8, -90.21942838103931
1.5, 4, 9, -90.06104954194456
2.5, 1, 0, -424.975577925428
2.5, 1, 1, -338.06399332689614
2.5, 1, 2, -420.4002840944778
2.5, 1, 3, -407.18701742533693
2.5, 1, 4, -457.06700896833735
2.5, 1, 5, -474.3652907567358
2.5, 1, 6, -362.18597632993186
2.5, 1, 7, -390.7641936038648
2.5, 1, 8, -474.4012742500032
2.5, 1, 9, -420.63782699823315
2.5, 2, 0, -257.71634407952195
2.5, 2, 1, -219.8562129013782
2.5, 2, 2, -251.1946611089479
2.5, 2, 3, -229.8413012824614
2.5, 2, 4, -314.9532095273301
2.5, 2, 5, -219.06943882717343
2.5, 2, 6, -201.5121509522546
2.5, 2, 7, -207.7004753055095
2.5, 2, 8, -257.31544249906676
2.5, 2, 9, -230.19930963687597
2.5, 3, 0, -141.20606497663886
2.5, 3, 1, -124.78051064602536
2.5, 3, 2, -134.320864994627
2.5, 3, 3, -123.16641900420257
2.5, 3, 4, -147.91680362769858
2.5, 3, 5, -132.25703042748367
2.5, 3, 6, -115.08659007645879
2.5, 3, 7, -124.3768881991582
2.5, 3, 8, -146.30710582762126
2.5, 3, 9, -133.84994559236287
2.5, 4, 0, -120.89176887839002
2.5, 4, 1, -110.36996032278007
2.5, 4, 2, -120.39224658813853
2.5, 4, 3, -101.43894426687726
2.5, 4, 4, -125.0981896191914
2.5, 4, 5, -116.64683722653365
2.5, 4, 6, -101.74474704754591
2.5, 4, 7, -102.16962190005727
2.5, 4, 8, -123.0501051096232
2.5, 4, 9, -112.91183643656825
3.5, 1, 0, -543.4482568589569
3.5, 1, 1, -477.0026275047191
3.5, 1, 2, -518.167922636554
3.5, 1, 3, -515.2542428195453
3.5, 1, 4, -616.2161988831069
3.5, 1, 5, -560.8034227595721
3.5, 1, 6, -449.6748046499548
3.5, 1, 7, -484.3646635426013
3.5, 1, 8, -591.2105403083763
3.5, 1, 9, -577.7758606865675
3.5, 2, 0, -328.6652744390184
3.5, 2, 1, -273.60601028205724
3.5, 2, 2, -282.39836009143676
3.5, 2, 3, -297.99939884318576
3.5, 2, 4, -372.46453436139154
3.5, 2, 5, -280.98476490903334
3.5, 2, 6, -253.06540120424688
3.5, 2, 7, -261.39305542754784
3.5, 2, 8, -322.7059935228145
3.5, 2, 9, -321.2697035446152
3.5, 3, 0, -185.401054798817
3.5, 3, 1, -179.10426972716914
3.5, 3, 2, -168.4387273072554
3.5, 3, 3, -159.9143662628652
3.5, 3, 4, -212.82990415994087
3.5, 3, 5, -169.81979170604174  
3.5, 3, 6, -156.8286035016293
3.5, 3, 7, -165.98282710351802
3.5, 3, 8, -186.70811329733525
3.5, 3, 9, -175.66541628829563
3.5, 4, 0, -150.97637114461025
3.5, 4, 1, -151.83743688236353
3.5, 4, 2, -149.77437924022183
3.5, 4, 3, -138.94191395555055
3.5, 4, 4, -169.89627991749654
3.5, 4, 5, -153.5889148307326
3.5, 4, 6, -140.76951568538786
3.5, 4, 7, -145.17157945321293
3.5, 4, 8, -157.17361376487725
3.5, 4, 9, -154.95290061003516


