k, seed, comm_radius, reward
3, 1, 1.0, -102.51745710729206
3, 2, 3.0, -54.71319396908284
3, 2, 2.0, -58.96762829482891
3, 2, 1.5, -67.62128187729051
3, 2, 1.0, -109.11390541841133
3, 3, 3.0, -54.785324464945475
3, 3, 2.0, -56.919093886578445
3, 3, 1.5, -65.0543608158937
3, 3, 1.0, -97.77913055280855
3, 4, 3.0, -54.575676100943745
3, 4, 2.0, -56.0129128211909
3, 4, 1.5, -64.08908625843326
3, 4, 1.0, -113.8840358337638
3, 5, 3.0, -53.92318844021666
3, 5, 2.0, -57.87793022240571
3, 5, 1.5, -65.11488310855752
3, 5, 1.0, -106.84274579736197
3, 6, 3.0, -52.71971090405575
3, 6, 2.0, -55.07827102549086
3, 6, 1.5, -64.56008730306213
3, 6, 1.0, -100.6579538076797
3, 7, 3.0, -53.861784974723435
3, 7, 2.0, -58.12757699224725
3, 7, 1.5, -66.66465473557855
3, 7, 1.0, -108.51637778855263
3, 8, 3.0, -57.08877520466425
3, 8, 2.0, -60.050780880230704
3, 8, 1.5, -67.29409324027475
3, 8, 1.0, -113.80017398906905
3, 9, 3.0, -54.42431144555329
3, 9, 2.0, -59.10431354616484
3, 9, 1.5, -67.63574633001737
3, 9, 1.0, -112.85928117247099
4, 0, 3.0, -49.31272612306888
4, 0, 2.0, -52.70943312849745
4, 0, 1.5, -58.24138946174717
4, 0, 1.0, -98.66340201460828
4, 1, 3.0, -50.826947689270426
4, 1, 2.0, -54.78239282509327
4, 1, 1.5, -59.42139300031774
4, 1, 1.0, -91.70384516323007
4, 2, 3.0, -55.50786872669247
4, 2, 2.0, -58.7101922352083
4, 2, 1.5, -66.6479171364168
4, 2, 1.0, -101.44332871641843
4, 3, 3.0, -54.6703090866125
4, 3, 2.0, -56.78877832190144
4, 3, 1.5, -60.66755466629088
4, 3, 1.0, -85.51868283441051
4, 4, 3.0, -54.35144203858947
4, 4, 2.0, -55.830922818078285
4, 4, 1.5, -60.80157083427669
4, 4, 1.0, -98.61902287774576
4, 5, 3.0, -53.05698296126794
4, 5, 2.0, -57.808799210668795
4, 5, 1.5, -62.12499051086231
4, 5, 1.0, -92.04919519136536
4, 6, 3.0, -51.67073756863023
4, 6, 2.0, -54.31285064368194
4, 6, 1.5, -62.20223240739447
4, 6, 1.0, -91.16076839147365
4, 7, 3.0, -54.30493225659668
4, 7, 2.0, -57.22060717224963
4, 7, 1.5, -64.6888165949949
4, 7, 1.0, -90.88594977069484
4, 8, 3.0, -57.495207651813224
4, 8, 2.0, -60.44804901013002
4, 8, 1.5, -65.6175613070587
4, 8, 1.0, -100.14159544562838
4, 9, 3.0, -54.77379430906382
4, 9, 2.0, -59.15570976219824
4, 9, 1.5, -64.55289732273938
4, 9, 1.0, -100.87695260892731
