v_max, k, seed, reward
1.5, 3, 1, -58.53586095095301
1.5, 3, 2, -71.63584854056863
1.5, 3, 3, -58.21027051387025
1.5, 3, 4, -74.14250886316094
1.5, 3, 5, -68.67095342076557
1.5, 3, 6, -57.811967296488696
1.5, 3, 7, -71.40682972040798
1.5, 3, 8, -64.2067581002365
1.5, 3, 9, -66.85628118805565
1.5, 4, 0, -58.00191656028088
1.5, 4, 1, -52.15132285655402
1.5, 4, 2, -63.025342423816255
1.5, 4, 3, -51.05814962351248
1.5, 4, 4, -57.84703812697329
1.5, 4, 5, -60.429991951605565
1.5, 4, 6, -51.7219608666757
1.5, 4, 7, -60.3334727089556
1.5, 4, 8, -54.61841892270081
1.5, 4, 9, -57.40318282008466
2.5, 1, 0, -263.33526509648635
2.5, 1, 1, -220.4447580450345
2.5, 1, 2, -242.7951469510478
2.5, 1, 3, -228.62335666541307
2.5, 1, 4, -299.7390368461103
2.5, 1, 5, -276.78171847250724
2.5, 1, 6, -239.5621628156755
2.5, 1, 7, -245.70140030127195
2.5, 1, 8, -275.8326371457646
2.5, 1, 9, -284.59998210999385
2.5, 2, 0, -160.40433698066414
2.5, 2, 1, -126.64943702752035
2.5, 2, 2, -143.27802184911667
2.5, 2, 3, -136.5132263376318
2.5, 2, 4, -161.36561979555617
2.5, 2, 5, -178.1875456619753
2.5, 2, 6, -136.07394338246817
2.5, 2, 7, -142.2197862270202
2.5, 2, 8, -147.2893663523763
2.5, 2, 9, -153.75072929523856
2.5, 3, 0, -95.3680855526146
2.5, 3, 1, -82.9604075224216
2.5, 3, 2, -89.32311319753157
2.5, 3, 3, -79.88716709841808
2.5, 3, 4, -102.62062514195398
2.5, 3, 5, -91.3827743551455
2.5, 3, 6, -82.35461183185703
2.5, 3, 7, -90.72998215846931
2.5, 3, 8, -92.98298864381536
2.5, 3, 9, -93.97403151490475
2.5, 4, 0, -84.85823063146748
2.5, 4, 1, -74.6370079624223
2.5, 4, 2, -81.58798604232594
2.5, 4, 3, -71.6449684870175
2.5, 4, 4, -81.33236935709911
2.5, 4, 5, -79.45619320351187
2.5, 4, 6, -73.96597992739754
2.5, 4, 7, -76.50233281163557
2.5, 4, 8, -81.76069944546569
2.5, 4, 9, -82.97182173178399
3.5, 1, 0, -396.65285260007965
3.5, 1, 1, -307.2575953768425
3.5, 1, 2, -374.7946445542011
3.5, 1, 3, -335.898996920659
3.5, 1, 4, -413.4864858407491
3.5, 1, 5, -401.70259172362046
3.5, 1, 6, -328.0035250293073
3.5, 1, 7, -341.5857859275481
3.5, 1, 8, -374.48266911505505
3.5, 1, 9, -422.9368394685095
3.5, 2, 0, -218.10478041458754
3.5, 2, 1, -176.83857027342077
3.5, 2, 2, -206.47251703070188
3.5, 2, 3, -192.80836594290315
3.5, 2, 4, -227.87583217847765
3.5, 2, 5, -192.84620768982293
3.5, 2, 6, -182.12999891392968
3.5, 2, 7, -202.49919064429358
3.5, 2, 8, -211.37170615969845
3.5, 2, 9, -215.96262956990685
3.5, 3, 0, -139.49705283990923
3.5, 3, 1, -121.33795787973202
3.5, 3, 2, -122.81876071702872
3.5, 3, 3, -127.52084964443873
3.5, 3, 4, -142.180186737771
3.5, 3, 5, -130.9756123152152
3.5, 3, 6, -106.7554961342021
3.5, 3, 7, -130.86821172301376
3.5, 3, 8, -141.21351887040316
3.5, 3, 9, -130.61846880111594
3.5, 4, 0, -119.97362045285983
3.5, 4, 1, -117.24003721060919
3.5, 4, 2, -115.32818311614896
3.5, 4, 3, -107.10440622057922
3.5, 4, 4, -124.67406846365297
3.5, 4, 5, -113.07412137788967
3.5, 4, 6, -104.01853608804645
3.5, 4, 7, -113.52423448856109
3.5, 4, 8, -122.6367399651186
3.5, 4, 9, -119.63024933242234

