v_max, centralized, reward
0.5, True, -11.413573909599926, 1.312697797270685
0.5, False, -5577.872921174733, 402.5689177264476
1.5, True, -11.806392967058917, 1.4109636865577866
1.5, False, -5750.166416392337, 442.0256225807812
2.5, True, -13.411726767309764, 1.6699564625770904
2.5, False, -6188.217700152502, 519.4437656696359
3.5, True, -17.047247152224028, 2.107113087240838
3.5, False, -6946.487299117046, 622.6703169175984
4.5, True, -23.883665482411576, 2.674225218321233
4.5, False, -7951.297508796405, 840.8459059511401
